p = 97
a = 2
b = 3
E: y^2 = x^3 + a*x + b (mod p)
Rational points (x, y, z):
(0, 10, 1)
(0, 87, 1)
(1, 43, 1)
(1, 54, 1)
(3, 6, 1)
(3, 91, 1)
(4, 47, 1)
(4, 50, 1)
(10, 21, 1)
(10, 76, 1)
(11, 17, 1)
(11, 80, 1)
(12, 3, 1)
(12, 94, 1)
(17, 10, 1)
(17, 87, 1)
(20, 34, 1)
(20, 63, 1)
(21, 24, 1)
(21, 73, 1)
(22, 5, 1)
(22, 92, 1)
(23, 24, 1)
(23, 73, 1)
(24, 2, 1)
(24, 95, 1)
(25, 35, 1)
(25, 62, 1)
(27, 7, 1)
(27, 90, 1)
(28, 34, 1)
(28, 63, 1)
(29, 43, 1)
(29, 54, 1)
(30, 0, 1)
(32, 7, 1)
(32, 90, 1)
(37, 22, 1)
(37, 75, 1)
(38, 7, 1)
(38, 90, 1)
(39, 6, 1)
(39, 91, 1)
(44, 20, 1)
(44, 77, 1)
(46, 25, 1)
(46, 72, 1)
(47, 18, 1)
(47, 79, 1)
(49, 34, 1)
(49, 63, 1)
(50, 19, 1)
(50, 78, 1)
(52, 29, 1)
(52, 68, 1)
(53, 24, 1)
(53, 73, 1)
(54, 12, 1)
(54, 85, 1)
(55, 6, 1)
(55, 91, 1)
(56, 8, 1)
(56, 89, 1)
(59, 32, 1)
(59, 65, 1)
(65, 32, 1)
(65, 65, 1)
(67, 43, 1)
(67, 54, 1)
(68, 0, 1)
(70, 32, 1)
(70, 65, 1)
(73, 14, 1)
(73, 83, 1)
(74, 20, 1)
(74, 77, 1)
(76, 20, 1)
(76, 77, 1)
(80, 10, 1)
(80, 87, 1)
(83, 23, 1)
(83, 74, 1)
(84, 37, 1)
(84, 60, 1)
(85, 26, 1)
(85, 71, 1)
(86, 28, 1)
(86, 69, 1)
(87, 27, 1)
(87, 70, 1)
(88, 41, 1)
(88, 56, 1)
(91, 39, 1)
(91, 58, 1)
(92, 16, 1)
(92, 81, 1)
(95, 31, 1)
(95, 66, 1)
(96, 0, 1)
(0, 1, 0)
Total points (including infinity): 100
